model,setup,run_type,experiment,scope,value
gpt-oss-medium,B-resolved,rob,E3_M,P2,1.1111
gpt-oss-medium,B-resolved,rob,E3_T,avg,1.8333
gpt-oss-medium,B-resolved,rob,E3_T,P1,2.0
gpt-oss-medium,B-resolved,rob,E3_T,P2,1.6667
gpt-oss-medium,C,det,E1,avg,3.0556
gpt-oss-medium,C,det,E1,P1,3.8889
gpt-oss-medium,C,det,E1,P2,2.2222
gpt-oss-medium,C,det,E2,avg,2.1667
gpt-oss-medium,C,det,E2,P1,3.1667
gpt-oss-medium,C,det,E2,P2,1.1667
gpt-oss-medium,C,det,E3_M,avg,3.0
gpt-oss-medium,C,det,E3_M,P1,3.0
gpt-oss-medium,C,det,E3_M,P2,3.0
gpt-oss-medium,C,det,E3_T,avg,3.6667
gpt-oss-medium,C,det,E3_T,P1,3.3333
gpt-oss-medium,C,det,E3_T,P2,4.0
gpt-oss-medium,C,rob,E1,avg,2.6111
gpt-oss-medium,C,rob,E1,P1,3.1111
gpt-oss-medium,C,rob,E1,P2,2.1111
gpt-oss-medium,C,rob,E2,avg,1.75
gpt-oss-medium,C,rob,E2,P1,2.4444
gpt-oss-medium,C,rob,E2,P2,1.0556
gpt-oss-medium,C,rob,E3_M,avg,3.1111
gpt-oss-medium,C,rob,E3_M,P1,3.0
gpt-oss-medium,C,rob,E3_M,P2,3.2222
gpt-oss-medium,C,rob,E3_T,avg,3.5
gpt-oss-medium,C,rob,E3_T,P1,3.4444
gpt-oss-medium,C,rob,E3_T,P2,3.5556
gpt-oss-high,A,det,E1,avg,2.0
gpt-oss-high,A,det,E1,P1,2.7778
gpt-oss-high,A,det,E1,P2,1.2222
gpt-oss-high,A,det,E2,avg,2.25
gpt-oss-high,A,det,E2,P1,3.0
gpt-oss-high,A,det,E2,P2,1.5
gpt-oss-high,A,det,E3_M,avg,2.5
gpt-oss-high,A,det,E3_M,P1,2.0
gpt-oss-high,A,det,E3_M,P2,3.0
gpt-oss-high,A,det,E3_T,avg,2.6667
gpt-oss-high,A,det,E3_T,P1,2.3333
gpt-oss-high,A,det,E3_T,P2,3.0
gpt-oss-high,A,rob,E1,avg,2.1667
gpt-oss-high,A,rob,E1,P1,3.0
gpt-oss-high,A,rob,E1,P2,1.3333
gpt-oss-high,A,rob,E2,avg,1.9722
gpt-oss-high,A,rob,E2,P1,3.0
gpt-oss-high,A,rob,E2,P2,0.9444
gpt-oss-high,A,rob,E3_M,avg,2.3889
gpt-oss-high,A,rob,E3_M,P1,1.7778
gpt-oss-high,A,rob,E3_M,P2,3.0
gpt-oss-high,A,rob,E3_T,avg,2.6111
gpt-oss-high,A,rob,E3_T,P1,2.0
gpt-oss-high,A,rob,E3_T,P2,3.2222
gpt-oss-high,B-query,det,E1,avg,1.3889
gpt-oss-high,B-query,det,E1,P1,2.5556
gpt-oss-high,B-query,det,E1,P2,0.2222
gpt-oss-high,B-query,det,E2,avg,1.8333
gpt-oss-high,B-query,det,E2,P1,3.0
gpt-oss-high,B-query,det,E2,P2,0.6667
gpt-oss-high,B-query,det,E3_M,avg,2.3333
gpt-oss-high,B-query,det,E3_M,P1,1.6667
gpt-oss-high,B-query,det,E3_M,P2,3.0
gpt-oss-high,B-query,det,E3_T,avg,2.1667
gpt-oss-high,B-query,det,E3_T,P1,1.3333
gpt-oss-high,B-query,det,E3_T,P2,3.0
